application,data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
100:java.util.ArrayList,java.util.ArrayList,4069330.0,4655515.5,256.0,5328114.5,1938089.0,78640.0,6303.5,38.0,101289.0,184279.5,1958.0,0.0,4937049.0,3056184.0,342241.5,585.0,28985.5,341.0,263416.5,227041.0,250448.0,317976.5,156.0,474.0,385.5,192.5,491.5,68044.5,14.0,325776.5,253477.5,311635.5,146.0,45844.0,8954.0,250.0,215.5,75.5,0.0,388780.0,63.0,651837.5,68.0,7754599.0,3859103.0,102.0,2937.5,1651077.5,638827.0,0.0,21042.0,376835.0,3418.0,3.0,8.0,2342689.5,2.47060175E7,0.0,0.0
101:java.util.ArrayList,java.util.ArrayList,1073009.0,1295279.0,33.5,1398725.5,475672.5,20196.0,24261.0,22.0,3125.5,7544.0,208.5,0.0,1467388.5,862681.5,12543.5,447.0,618.5,93.0,9660.5,9178.5,8025.5,12131.5,94.0,348.5,280.0,59.0,383.0,1840.0,14.0,13451.0,7478.0,11717.0,98.0,2357.0,369.0,25.0,87.0,30.0,0.0,11773.0,48.0,16413.0,21.5,2429300.0,1198440.5,0.0,472.0,442141.0,61016.5,0.0,83635.5,56278.5,2619.0,2.0,11.0,619080.5,7136824.5,0.0,0.0
102:java.util.ArrayList,java.util.ArrayList,2365.0,2900.0,3.0,1361.0,2071.0,801.0,824.0,2.0,39.0,17.0,17.0,0.0,3946.5,2670.0,117.5,179.0,106.0,23.0,304.0,275.0,92.0,72.0,38.0,215.5,241.5,8.0,178.0,4.0,2.5,488.0,105.5,267.0,36.0,98.0,2.0,2.0,4.0,3.0,0.0,112.0,39.0,110.5,2.0,6538.0,8325.5,88.0,44.0,4814.0,773.5,0.0,1709.0,2377.0,758.0,0.0,8.0,7268.5,16576.0,0.0,0.0
103:java.util.ArrayList,java.util.ArrayList,25243.0,25480.0,11.0,22429.0,25235.0,2812.0,230.0,1.0,26.5,5.0,13.0,0.0,21445.0,11991.0,90.0,142.0,71.0,20.0,236.0,212.5,78.0,51.0,34.0,181.0,163.0,2.0,155.5,2.0,1.0,376.0,84.0,188.5,34.0,70.5,1.0,2.0,2.0,1.0,0.0,86.5,33.0,80.0,2.0,33744.0,34560.0,46.0,35.5,20086.0,322.5,0.0,813.0,3115.0,821.0,0.0,4.0,29170.5,118161.0,0.0,0.0
104:java.util.ArrayList,java.util.ArrayList,3047290.5,3610813.5,35.0,4034883.0,1353375.0,52114.5,39060.5,761.5,15096.5,25956.5,1296.5,0.0,3950470.5,2283738.0,19609.5,519.5,2478.5,712.5,13651.5,11545.0,44158.0,15467.0,1231.0,366.0,298.0,183.5,435.0,6179.0,56.5,17213.5,47908.0,16092.5,391.0,9639.0,2590.0,144.0,195.0,88.0,1.0,55168.5,1058.5,72908.0,133.0,6412763.0,3111150.5,10179.5,3047.5,1171254.5,130602.0,0.0,148427.0,141427.0,3521.5,8.0,13.0,1650482.0,1.9582397E7,0.0,0.0
105:java.util.ArrayList,java.util.ArrayList,4928278.5,5686335.0,114.0,6134552.0,2192834.0,126101.0,3923.0,75778.0,148478.0,154696.5,26175.5,0.0,5972570.5,3623094.0,157100.5,965.0,5503.5,88757.0,108858.5,83615.5,432146.5,37005.0,69357.0,639.5,4.0,807.0,742.5,17983.5,22228.0,126714.5,533975.0,46425.5,90662.0,211404.0,9810.5,43274.5,713.5,753.0,669.0,573052.0,49330.5,628425.5,83883.0,8550402.5,4366709.0,804638.5,68908.0,1992332.0,1476472.0,0.0,485662.0,770544.5,8931.5,743.0,22.5,2930077.0,2.93334005E7,0.0,0.0
106:java.util.LinkedList,java.util.LinkedList,539.0,734.0,1.0,428.0,539.0,108.0,188.0,0.0,17.0,5.0,2.0,0.0,922.0,721.0,47.0,129.0,61.0,11.0,181.0,162.0,33.0,34.0,18.0,156.0,152.0,1.0,126.5,1.0,0.0,298.0,52.0,171.5,17.0,33.0,0.0,0.0,1.0,1.0,0.0,52.5,16.0,48.5,0.0,1426.0,1923.0,0.0,17.0,1743.0,207.0,0.0,496.0,1414.0,561.5,0.0,8.0,2718.5,4053.0,0.0,0.0
107:java.util.ArrayList,java.util.ArrayList,545.0,725.0,2.0,428.0,546.0,116.0,173.0,0.0,18.0,3.5,2.0,0.0,909.0,772.0,65.0,109.0,67.0,12.0,180.0,167.0,31.5,51.0,20.0,147.0,139.0,1.0,118.0,1.0,0.0,299.5,53.0,147.0,18.0,34.5,0.0,0.0,1.0,2.0,0.0,48.0,16.0,57.5,0.0,1414.0,1892.0,0.0,17.0,1992.0,188.5,0.0,484.0,1712.0,633.0,0.0,8.0,3043.5,4053.0,0.0,0.0
108:java.util.ArrayList,java.util.ArrayList,16999.0,19089.5,15.0,13405.0,16985.0,3240.0,2348.0,5.0,45.0,20.0,20.0,0.0,20148.5,12787.0,144.0,209.0,134.5,37.0,360.5,324.0,134.5,97.0,58.0,243.0,212.0,0.0,201.0,4.0,6.0,547.5,134.5,307.0,58.0,133.0,3.0,5.0,1.0,3.0,0.0,139.0,66.5,136.0,5.0,32155.0,36138.0,84.0,67.0,16434.0,1534.0,0.0,3980.0,3799.5,808.5,0.0,10.0,25278.0,97247.0,0.0,0.0
109:java.util.ArrayList,java.util.ArrayList,2054.0,2292.0,3.0,1700.0,2055.5,352.5,229.0,2.0,32.5,21.0,15.0,0.0,2377.0,1876.0,120.0,191.0,105.0,24.0,329.0,311.0,90.0,78.0,38.0,229.0,217.5,3.0,202.0,4.0,3.0,503.0,91.0,273.5,36.0,96.0,3.0,2.0,4.0,4.0,0.0,96.5,39.5,97.0,2.0,3474.0,4357.0,92.0,47.0,3818.0,521.0,0.0,881.0,2676.0,807.5,0.0,4.0,5920.5,11789.0,0.0,0.0
