,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LD_INS,PAPI_LD_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_RES_STL,PAPI_RES_STL,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SR_INS,PAPI_SR_INS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_SP,PAPI_VEC_SP,PAPI_VEC_SP
,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
0,1747,13144,70521,1921,15215,74589,63,10,1053,1244,12066,52115,1692,13156,69681,1261,9098,18399,165,2062,4059,27,278,376,810,490,1159,253,216,512,2273,683,1335,0,0,0,3652,16875,86598,1912,12351,90228,244,807,1516,424,217,331,635,223,422,54,547,1155,737,458,1265,594,792,1703,719,1659,3078,150,119,409,68,1008,1730,223988,30784,12954,979,115,317,829,185,347,1418,187,670,88,219,105,10,16,110,1224,1092,1996,1200,1734,3309,637,343,790,28,1056,1722,911,1671,3081,85,71,90,12,26,277,1989,152,271,1983,919,1131,25,5,1,1321,1816,3416,431,1137,2257,1191,1701,3183,18,15,176,2222,20341,101564,3294,33499,156924,0,1566,3122,2342,158,575,11454,28635,222689,2511,2789,28303,0,0,0,966,13151,55623,16832,16968,217849,7637,3890,23906,14,188,331,27,67,11,15455,23611,206926,10223,90185,406216,0,0,0,0,0,0
1,1775,13144,70521,1955,15705,74589,27,6,898,1262,12066,52115,1755,13145,69515,2400,9098,18399,171,2062,4059,6,101,385,173,311,1205,25,193,301,372,489,2528,0,0,0,3708,17165,88103,1585,12407,89252,144,769,1738,253,150,269,458,192,444,39,562,1201,444,347,1021,355,743,1614,209,1578,3792,126,119,338,68,1078,1754,3510,3969,9646,297,150,347,143,100,290,728,202,594,26,78,102,6,2,162,645,929,1800,292,1489,4140,427,230,390,56,1036,1694,298,1527,2895,15,42,71,2,18,288,828,53,213,1104,174,471,2,0,6,563,1489,3024,76,1052,2095,271,1517,2773,6,17,155,2252,20341,101294,3351,33499,156924,0,726,2635,729,46,398,4897,22493,188908,666,2044,32300,0,0,0,993,13151,55623,4710,14733,200455,851,467,20204,15,158,323,3,4,5,4777,22058,191528,10424,90185,406217,0,0,0,0,0,0
2,1777,13144,70521,1957,15215,75333,12,4,808,1262,12066,52115,1776,13146,69631,1218,9098,18399,171,2299,4059,3,74,314,128,318,1061,15,128,339,115,460,1254,0,0,0,1757,16946,89712,1563,11311,87197,120,779,1634,192,139,279,477,186,463,38,596,1273,348,346,688,255,644,1572,119,1485,2817,115,118,346,56,1144,1830,2460,2536,6398,445,133,332,29,101,274,650,452,691,13,62,260,1,3,173,1088,859,1787,129,1604,3029,334,175,397,36,1026,1760,160,1478,2953,1,47,71,7,17,256,251,99,238,565,194,452,0,1,0,204,2491,3017,94,1045,2170,183,1442,2782,6,21,156,2251,20341,101294,3400,35172,158447,0,528,23757,213,30,362,4067,23323,186086,372,3412,25131,0,0,0,993,13151,55623,3344,14495,174900,456,407,21016,0,164,325,0,2,79,3915,21745,200989,10424,91026,406216,0,0,0,0,0,0
3,1777,13144,70521,1957,15215,74589,10,2,731,1262,12111,52163,1778,13146,69738,1218,34938,18399,171,2062,4299,8,68,326,70,240,1148,17,101,277,88,537,1357,0,0,0,1837,17149,89442,1529,11298,87429,105,777,1479,200,134,274,429,286,682,37,504,1211,340,337,756,225,712,1549,170,1488,3026,116,178,509,68,1122,1802,2390,1614,6325,337,152,336,2037,63,301,586,213,882,14,60,88,7,1,148,370,887,1695,109,1479,2938,365,177,392,42,1102,1826,180,1553,2939,0,123,146,0,20,262,207,67,216,245,183,2848,0,0,0,268,1494,3511,38,993,2169,128,1421,2745,10,23,203,2252,20341,101294,3351,33499,156924,0,0,1796,212,49,346,3569,23157,190651,483,1858,21122,0,0,0,993,13151,55623,3217,14521,157976,430,322,19594,18,178,303,0,3,3,3860,22358,183486,10424,90185,407310,0,0,0,0,0,0
4,1775,13144,70600,2225,15215,74589,1,2,733,1261,12066,52115,1781,13146,69738,1218,9090,18399,171,2062,4059,24,68,387,70,237,1171,7,184,327,6957,584,1096,0,0,0,1799,17037,89333,1527,11274,86514,100,784,1475,194,151,332,415,181,468,40,525,1177,342,250,702,214,751,2190,109,1477,3038,118,109,413,56,1116,1776,1702,1610,6236,346,169,334,239,97,287,657,260,525,7,69,79,0,5,125,351,826,1707,104,1526,2932,365,276,373,44,1062,1786,111,1982,3260,1,59,80,4,20,299,139,575,411,199,161,560,0,0,0,141,1565,2992,131,1003,2607,126,1460,2751,6,21,218,2252,20341,101294,3351,33499,156924,0,948,1780,286,55,404,3901,23157,182351,289,3048,19606,0,0,0,993,13708,56237,3013,14655,173061,394,371,20288,14,181,327,0,2,0,3909,21949,205782,10424,90185,406216,0,0,0,0,0,0
5,1777,13144,70521,1957,15215,74589,3,2,707,1262,12066,52115,1777,13147,69803,1217,9138,18399,171,2062,4059,8,47,377,42,602,970,9,116,281,1170,430,1075,0,0,0,1795,17071,89115,1424,11343,85714,102,783,1470,217,302,214,449,183,478,36,549,1186,311,279,694,205,1232,1611,124,1555,2835,122,121,459,60,1108,1698,2823,2854,6047,318,128,351,147,108,536,1584,234,449,24,61,100,9,4,233,347,819,1722,99,1468,2991,301,195,349,70,970,1822,145,1490,2805,1,32,77,3,14,327,139,88,178,231,163,541,0,0,0,103,1499,3425,65,1324,2136,94,1461,2723,4,16,217,2251,20341,101294,3351,33499,156924,0,1638,30323,221,77,387,3818,21746,196378,443,2900,41915,0,0,0,993,13151,55623,3131,15872,188461,374,378,19648,0,176,322,0,3,0,3796,21544,192994,10424,90185,406216,0,0,0,0,0,0
6,1777,13223,70521,1957,15215,74589,2,11,715,1262,12066,52115,1781,13147,69829,1218,9098,18504,171,2062,4059,0,116,335,55,288,886,12,156,323,205,402,1271,0,0,0,1821,17033,89235,1520,11268,86073,98,761,1458,149,140,227,416,1183,496,42,562,1209,328,272,666,208,787,1528,110,1472,2879,113,117,378,60,1122,1842,1599,1416,5209,347,113,394,122,347,236,1295,246,605,20,55,73,6,26,238,340,818,2335,111,1513,2947,319,185,970,50,1164,1554,125,1465,2898,1,38,82,1,53,281,103,110,201,203,172,478,0,0,0,224,1414,3171,99,1049,2325,88,1400,3185,7,48,212,2252,20341,101294,3351,33499,156923,0,1233,21397,235,29,606,4150,23240,187497,425,2507,25045,0,0,0,993,13151,55623,3199,49788,176066,349,431,19263,20,158,358,0,3,0,3821,22505,190939,10424,90185,406216,0,0,0,0,0,0
7,1777,13144,70521,1955,15215,74589,1,4,660,1261,12066,52115,1781,13147,69901,1218,9098,18399,171,2062,4059,4,153,330,44,299,1232,11,163,681,85,457,1707,0,0,0,1800,17328,90397,1520,11278,86829,89,754,1472,184,135,248,401,205,455,42,579,1156,297,283,1178,208,672,1545,98,1513,3053,119,112,400,66,1072,1836,3503,1005,6021,388,122,388,80,106,216,279,208,728,29,41,133,0,9,156,341,818,1696,77,1503,3676,344,187,421,66,1088,1776,123,1450,2828,1,50,59,6,19,373,111,91,203,206,172,731,0,0,0,308,1469,3079,77,1098,2105,133,1470,2840,9,24,226,2252,20341,102607,3351,33499,156924,0,2084,1911,551,43,386,3735,23738,193971,553,2195,24711,0,0,0,993,13151,55623,5821,14232,162966,375,440,19527,0,178,306,0,1,0,3812,22921,192580,10418,90185,406216,0,0,37,0,0,0
8,1777,13144,70521,1957,15215,74745,1,2,651,1262,12066,52115,1777,13147,69844,1218,9195,18399,171,2062,4059,4,184,445,42,250,926,18,166,291,108,394,1185,0,0,37,1847,16941,90122,1502,11281,86269,97,757,1748,118,136,242,433,191,444,38,595,1212,330,255,709,206,761,1543,125,1491,3293,107,115,423,76,1090,1756,1695,1220,4924,366,153,537,53,115,216,243,144,719,11,38,207,4,11,63,344,798,1643,94,1464,2977,323,186,370,64,910,1844,145,1594,2889,0,54,56,5,47,365,126,119,192,194,349,2238,1,0,20,301,1498,2848,41,1012,2155,87,1820,2629,4,15,191,2251,20341,101294,3350,33499,156924,0,3127,1640,289,58,347,3818,24485,197374,328,63566,18197,0,0,0,993,13151,55623,3269,15833,163858,445,543,28185,16,190,363,0,1,0,3784,46778,195186,10424,90185,406216,0,0,0,0,0,0
