application,data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
10:java.util.ArrayList,java.util.ArrayList,5329.0,6989.0,3.0,4087.0,5104.0,1105.0,1663.0,7.0,52.0,44.0,60.0,0.0,7994.0,9242.5,284.0,267.0,177.0,106.0,572.0,491.0,307.5,128.0,188.0,350.0,303.0,13.0,328.0,8.0,5.0,713.0,309.5,380.5,186.0,303.5,2.0,6.0,10.0,9.0,0.0,313.0,176.0,308.5,6.0,13720.0,17575.0,30.0,171.5,15106.0,2190.0,0.0,3932.5,12708.0,3283.5,2.5,5.0,24645.5,37429.0,0.0,0.0
1144:java.util.LinkedList,java.util.LinkedList,5007.0,6752.0,12.0,4136.0,5007.5,895.0,1636.0,6.5,58.0,44.0,62.5,0.0,8527.5,9493.0,274.0,252.0,161.5,117.0,557.5,497.0,340.5,129.5,214.0,359.0,323.0,10.0,316.0,8.0,6.0,748.0,348.0,381.5,214.0,344.5,2.5,6.0,11.0,10.0,0.0,339.5,197.0,362.0,6.0,13854.5,18289.5,0.0,190.0,15521.0,1951.0,0.0,4418.5,12612.0,3825.5,2.0,7.0,25068.5,38639.5,0.0,0.0
11:java.util.ArrayList,java.util.ArrayList,34998.0,38444.0,55.5,30546.5,35487.5,4603.0,2973.5,11.0,79.0,60.5,95.5,0.0,37270.5,28743.5,405.0,279.0,224.5,144.0,711.5,653.5,427.0,195.5,257.0,417.0,320.0,17.0,322.0,10.0,7.0,877.0,439.0,474.0,258.0,452.0,6.0,8.0,20.0,23.5,0.0,445.0,236.0,439.0,8.0,58544.0,64909.0,13.0,239.0,44944.5,3487.0,0.0,6889.0,23533.0,7017.5,5.5,4.0,72501.0,188152.5,0.0,0.0
1217:java.util.LinkedList,java.util.LinkedList,4912.0,6433.0,11.0,3931.5,4914.0,990.0,1518.0,8.0,41.0,35.5,47.5,0.0,8318.0,9626.5,233.0,194.0,130.5,119.0,459.0,508.0,320.0,95.5,220.0,271.0,259.0,6.0,254.5,5.0,5.0,564.0,329.0,280.0,220.0,330.0,3.0,5.0,6.0,5.0,0.0,328.0,198.0,321.5,6.0,13331.0,17597.0,0.0,184.0,18426.0,2032.5,0.0,4267.0,13696.5,4017.5,1.0,4.0,26340.5,37271.0,0.0,0.0
12:java.util.ArrayList,java.util.ArrayList,144663.5,160635.5,118.0,119887.5,144541.5,24753.0,15908.0,25.5,134.0,86.0,163.5,0.0,161094.0,100140.0,466.5,363.5,240.0,184.5,874.0,768.0,575.5,199.5,305.0,493.0,420.5,40.0,434.0,18.0,16.5,1107.5,615.5,580.0,302.0,597.5,12.0,14.5,33.5,36.0,0.0,587.5,323.0,573.0,18.0,264570.0,290849.5,453.0,306.0,132634.0,11123.5,0.0,26365.0,28753.0,4306.5,4.0,4.0,212288.5,800710.0,0.0,0.0
13:java.util.ArrayList,java.util.ArrayList,7.33014755E7,9.0417681E7,1080.0,9.4219791E7,3.09566865E7,1212304.0,2206440.0,102368.0,4322510.5,8699232.5,322843.5,0.0,1.072352305E8,6.8626901E7,3616862.5,8053.5,241681.0,119521.0,2386665.5,1410971.5,1.31696685E7,2197356.5,94457.0,990.0,142.5,2012.0,3507.0,1519130.0,20232.0,2419933.0,2.044635E7,2484724.0,125706.0,5577171.5,686922.0,49201.0,3517.0,1145.5,54.0,1.3483666E7,68069.5,1.95140065E7,111850.0,1.79428302E8,8.7599406E7,1446905.0,1225678.0,3.2059746E7,2.28726275E7,0.0,8475204.0,1.2396265E7,111200.0,1004.5,149.0,4.8791088E7,5.07716016E8,0.0,0.0
1481:java.util.LinkedList,java.util.LinkedList,4620.0,5910.0,30.0,3814.0,4604.0,818.0,1288.0,6.0,47.0,27.0,30.5,0.0,7127.0,9091.0,179.0,163.0,109.0,95.0,366.0,408.0,244.0,80.0,174.0,229.0,206.0,3.0,204.0,5.0,5.0,491.0,261.5,240.0,178.0,243.0,2.0,4.0,3.0,4.5,0.0,269.0,155.5,277.5,5.0,12089.5,15742.5,0.0,144.0,16600.0,2025.5,0.0,3652.0,13779.0,4219.5,1.0,6.0,24560.5,33271.0,0.0,0.0
14:java.util.ArrayList,java.util.ArrayList,3.53166995E7,3.8549249E7,2475.5,3.91351055E7,2.26775585E7,1196057.0,144307.0,3402.0,7790943.0,9780598.5,960083.0,0.0,3.7288141E7,2.412447E7,7727409.0,3086.0,2385455.5,3582.5,6538357.0,5132481.0,1.4174598E7,5503068.5,1299.0,1277.0,406.0,1407.0,1884.0,1676325.0,1303.5,6510530.0,1.63696735E7,6005599.5,1280.0,8262636.5,2184685.0,2106.0,2039.5,1148.5,3.0,1.2669502E7,1978.0,2.1438807E7,1008.0,5.90628225E7,3.96613635E7,6611.0,2164147.5,2.5211831E7,2.11424035E7,0.0,335233.0,1.4940648E7,41750.5,54.0,65.0,3.34660205E7,1.9415594E8,0.0,0.0
15:java.util.ArrayList,java.util.ArrayList,233107.0,249149.0,176.0,198075.5,232986.5,35140.0,16039.0,65.0,243.5,120.0,265.0,0.0,235781.0,139535.5,626.0,425.0,242.0,324.0,1052.5,940.0,1009.5,191.5,521.0,507.0,384.0,61.0,436.0,15.0,39.5,1303.5,1064.5,626.5,511.0,1007.0,14.0,40.0,63.5,57.0,0.0,1015.5,617.5,998.0,37.5,380000.5,410391.0,1642.5,525.5,200237.5,12539.0,0.0,30226.0,29737.5,3936.5,15.0,4.0,301288.5,1211787.0,0.0,0.0
16:java.util.ArrayList,java.util.ArrayList,338909.0,348254.0,215.5,297881.0,338562.5,41073.0,9467.5,30.0,211.5,117.0,247.0,0.0,306037.5,175759.0,594.5,486.5,304.0,239.0,1058.0,995.5,766.5,255.0,388.0,534.0,424.5,59.5,488.5,18.0,21.5,1373.5,823.5,735.0,386.0,773.0,14.0,22.0,60.0,59.0,0.0,789.0,414.5,777.5,23.5,483245.0,501362.5,469.0,405.0,267301.5,7146.5,0.0,18083.5,32136.5,5471.0,15.0,6.0,390922.5,1641447.5,0.0,0.0
