application,data_structure,best_data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
0,java.util.ArrayList,java.util.Vector,56878.0,73656.0,129.0,49425.0,56726.0,7438.0,16789.0,5.0,200.0,101.0,165.0,0.0,73404.0,50973.0,358.0,740.0,214.0,70.0,1065.0,1004.0,342.0,271.0,32.0,833.0,708.0,76.0,1052.0,156.0,13.0,1836.0,357.0,1038.0,104.0,287.0,25.0,6.0,62.0,67.0,0.0,308.0,0.0,329.0,6.0,119748.0,150017.0,19.0,139.0,58017.0,1308.0,0.0,30239.0,17178.0,5176.0,1.0,4.0,116426.0,364160.0,0.0,0.0
0,java.util.LinkedList,java.util.Vector,49468.0,68479.0,131.0,40745.0,49339.0,8712.0,18979.0,7.0,188.0,72.0,181.0,0.0,84011.0,44971.0,440.0,775.0,373.0,35.0,1279.0,1169.0,417.0,304.0,192.0,708.0,604.0,52.0,661.0,34.0,7.0,1855.0,476.0,1077.0,192.0,438.0,35.0,7.0,52.0,64.0,0.0,489.0,192.0,522.0,7.0,119482.0,161719.0,37.0,184.0,58598.0,1701.0,0.0,42263.0,20600.0,4981.0,5.0,1.0,117362.0,368926.0,0.0,0.0
0,java.util.Vector,java.util.Vector,58705.0,76464.0,127.0,51070.0,58571.0,7633.0,17760.0,9.0,250.0,113.0,284.0,0.0,98950.0,66340.0,360.0,924.0,231.0,77.0,1287.0,1252.0,449.0,235.0,116.0,929.0,814.0,84.0,925.0,42.0,7.0,2220.0,490.0,1196.0,114.0,401.0,41.0,7.0,93.0,87.0,0.0,508.0,108.0,602.0,6.0,137352.0,193975.0,16.0,180.0,71048.0,1419.0,0.0,56592.0,21377.0,4903.0,1.0,2.0,128530.0,431031.0,0.0,0.0
1,java.util.ArrayList,java.util.ArrayList,134109.0,171700.0,301.0,116282.0,133769.0,17777.0,37653.0,13.0,465.0,117.0,421.0,0.0,174855.0,115484.0,357.0,938.0,237.0,83.0,1321.0,1254.0,548.0,242.0,130.0,915.0,819.0,171.0,950.0,55.0,8.0,2286.0,745.0,1191.0,130.0,567.0,58.0,10.0,157.0,151.0,0.0,743.0,143.0,704.0,12.0,278743.0,340988.0,28.0,209.0,161933.0,4666.0,0.0,62598.0,35523.0,6428.0,4.0,3.0,260910.0,841108.0,0.0,0.0
1,java.util.LinkedList,java.util.ArrayList,120893.0,164460.0,336.0,98917.0,120502.0,21933.0,43595.0,16.0,483.0,201.0,529.0,0.0,202204.0,103259.0,537.0,1120.0,380.0,39.0,1677.0,1530.0,753.0,373.0,42.0,1119.0,946.0,161.0,1160.0,73.0,19.0,2635.0,946.0,1481.0,22.0,689.0,71.0,18.0,167.0,167.0,0.0,892.0,0.0,886.0,19.0,286948.0,386051.0,131.0,270.0,166166.0,4917.0,0.0,99593.0,37091.0,6698.0,69.0,7.0,266513.0,888012.0,0.0,0.0
1,java.util.Vector,java.util.ArrayList,138280.0,178170.0,310.0,120094.0,138064.0,18178.0,39926.0,14.0,540.0,191.0,490.0,0.0,229328.0,150382.0,392.0,1328.0,291.0,48.0,1724.0,1625.0,616.0,289.0,30.0,1331.0,1122.0,184.0,1368.0,60.0,14.0,2990.0,721.0,1687.0,44.0,599.0,63.0,14.0,179.0,179.0,1.0,745.0,10.0,754.0,14.0,320305.0,449258.0,36.0,176.0,174549.0,3081.0,0.0,129154.0,34456.0,5959.0,36.0,3.0,279696.0,1001580.0,0.0,0.0
2,java.util.ArrayList,java.util.ArrayList,100630.0,130663.0,215.0,86742.0,100379.0,13883.0,30028.0,13.0,498.0,210.0,472.0,0.0,131900.0,87884.0,375.0,836.0,272.0,52.0,1259.0,1145.0,574.0,269.0,32.0,854.0,679.0,170.0,822.0,66.0,13.0,2003.0,809.0,1143.0,34.0,631.0,71.0,14.0,170.0,184.0,0.0,770.0,0.0,749.0,13.0,216489.0,267795.0,103.0,216.0,105825.0,3392.0,0.0,51391.0,27172.0,6373.0,50.0,2.0,200974.0,647149.0,0.0,0.0
2,java.util.LinkedList,java.util.ArrayList,96253.0,130992.0,278.0,77597.0,95944.0,18604.0,34779.0,18.0,510.0,304.0,498.0,0.0,163476.0,87326.0,582.0,931.0,401.0,56.0,1564.0,1368.0,820.0,397.0,62.0,946.0,767.0,142.0,910.0,82.0,17.0,2302.0,919.0,1314.0,36.0,797.0,84.0,17.0,152.0,149.0,0.0,939.0,5.0,985.0,16.0,230401.0,314551.0,240.0,291.0,138693.0,6492.0,0.0,84142.0,35564.0,6436.0,110.0,2.0,222292.0,717361.0,0.0,0.0
2,java.util.Vector,java.util.ArrayList,104060.0,135408.0,219.0,89890.0,103792.0,14147.0,31344.0,12.0,523.0,213.0,494.0,0.0,175684.0,115578.0,381.0,981.0,279.0,47.0,1424.0,1314.0,586.0,273.0,26.0,1002.0,798.0,176.0,980.0,70.0,11.0,2362.0,833.0,1246.0,36.0,645.0,64.0,11.0,175.0,175.0,0.0,781.0,1.0,861.0,11.0,246084.0,345253.0,80.0,207.0,131721.0,2862.0,0.0,99165.0,29752.0,5731.0,45.0,2.0,217811.0,763904.0,0.0,0.0
3,java.util.ArrayList,java.util.ArrayList,66718.0,87058.0,134.0,57528.0,66882.0,9170.0,20094.0,11.0,533.0,229.0,502.0,0.0,89137.0,59910.0,412.0,891.0,296.0,51.0,1314.0,1222.0,649.0,298.0,32.0,875.0,698.0,169.0,847.0,73.0,12.0,2131.0,811.0,1187.0,30.0,648.0,76.0,12.0,157.0,171.0,0.0,847.0,0.0,792.0,12.0,143403.0,180890.0,42.0,234.0,83747.0,2862.0,0.0,37320.0,22125.0,5397.0,39.0,4.0,138175.0,433148.0,0.0,0.0
